Date,Visiting Team,Visiting team game num,Home,Home team game num,Visiting final score,Home final score,Num outs,Ballpark,Visit line,Home line,
"""20200728""","""CHA""",4,"""CLE""",4,3,4,51,"""CLE08""","""001010001""","""21100000x""",
"""20200728""","""CHA""",5,"""CLE""",5,3,5,51,"""CLE08""","""010001010""","""30020000x""",
"""20200728""","""KCA""",5,"""DET""",5,3,4,51,"""DET05""","""003000000""","""00400000x""",
"""20200728""","""LAN""",5,"""HOU""",5,5,2,54,"""HOU03""","""000050000""","""010100000""",
"""20200728""","""SLN""",4,"""MIN""",4,3,6,51,"""MIN04""","""000020010""","""05010000x""",
"""20200728""","""COL""",4,"""OAK""",5,8,3,54,"""OAK01""","""001220030""","""001010010""",
"""20200728""","""ATL""",5,"""TBA""",5,2,5,51,"""STP01""","""001000100""","""00500000x""",
"""20200728""","""ARI""",5,"""TEX""",4,4,1,54,"""ARL02""","""300001000""","""000000100""",
"""20200729""","""TBA""",6,"""ATL""",6,4,7,51,"""ATL03""","""000013000""","""00200320x""",
"""20200729""","""CHN""",6,"""CIN""",6,7,12,51,"""CIN09""","""000000502""","""00027030x""",
"""20200729""","""BOS""",6,"""NYN""",6,6,5,54,"""NYC20""","""000200130""","""100011011""",
"""20200729""","""MIL""",6,"""PIT""",6,3,0,54,"""PIT08""","""002001000""","""000000000""",
"""20200729""","""SDN""",6,"""SFN""",6,6,7,51,"""SFO03""","""002400000""","""011001031""",
"""20200729""","""SEA""",6,"""ANA""",6,10,7,54,"""ANA01""","""000105220""","""000313000""",
"""20200729""","""NYA""",4,"""BAL""",4,9,3,54,"""BAL12""","""203002002""","""100000200""",
"""20200729""","""CHA""",6,"""CLE""",6,4,0,54,"""CLE08""","""000000004""","""000000000""",
"""20200729""","""KCA""",6,"""DET""",6,4,5,51,"""DET05""","""112000000""","""00103010x""",
"""20200729""","""LAN""",6,"""HOU""",6,4,2,78,"""HOU03""","""0100000000102""","""0100000000100""",
"""20200729""","""SLN""",5,"""MIN""",5,0,3,51,"""MIN04""","""000000000""","""10020000x""",
"""20200729""","""COL""",5,"""OAK""",6,5,1,54,"""OAK01""","""010100012""","""100000000""",
"""20200729""","""ARI""",6,"""TEX""",5,4,7,51,"""ARL02""","""000000220""","""00011005x""",
"""20200729""","""WAS""",6,"""TOR""",6,4,0,60,"""WAS11""","""0000000004""","""0000000000""",
"""20200730""","""LAN""",7,"""ARI""",7,6,3,54,"""PHO01""","""310011000""","""001002000""",
"""20200730""","""TBA""",7,"""ATL""",7,1,2,51,"""ATL03""","""000000100""","""02000000x""",
"""20200730""","""BOS""",7,"""NYN""",7,4,2,54,"""NYC20""","""010200001""","""002000000""",
"""20200730""","""SDN""",7,"""SFN""",7,12,7,60,"""SFO03""","""0012021006""","""0000103201""",
"""20200730""","""SEA""",7,"""ANA""",7,8,5,54,"""ANA01""","""300000005""","""000020003""",
"""20200730""","""NYA""",5,"""BAL""",5,8,6,54,"""BAL12""","""500000003""","""220000020""",
"""20200730""","""KCA""",7,"""DET""",7,5,3,54,"""DET05""","""110000120""","""100100010""",
"""20200730""","""CLE""",7,"""MIN""",6,2,0,54,"""MIN04""","""002000000""","""000000000""",
"""20200730""","""WAS""",7,"""TOR""",7,6,4,54,"""WAS11""","""002210010""","""100100110""",
"""20200731""","""LAN""",8,"""ARI""",8,3,5,51,"""PHO01""","""000110010""","""00000104x""",
"""20200731""","""NYN""",8,"""ATL""",8,10,11,51,"""ATL03""","""000262000""","""20003105x""",
"""20200731""","""PIT""",7,"""CHN""",7,3,6,51,"""CHI11""","""000000012""","""00112002x""",
"""20200731""","""SDN""",8,"""COL""",6,8,7,54,"""DEN02""","""000003104""","""200002102""",
"""20200731""","""TEX""",6,"""SFN""",8,2,9,51,"""SFO03""","""101000000""","""01003230x""",
"""20200731""","""HOU""",7,"""ANA""",8,9,6,54,"""ANA01""","""040110201""","""001300110""",
"""20200731""","""TBA""",8,"""BAL""",6,3,6,51,"""BAL12""","""101010000""","""00031011x""",
"""20200731""","""CIN""",7,"""DET""",8,2,7,51,"""DET05""","""000020000""","""00102022x""",
"""20200731""","""CHA""",7,"""KCA""",8,3,2,54,"""KAN06""","""030000000""","""001001000""",
"""20200731""","""CLE""",8,"""MIN""",7,1,4,51,"""MIN04""","""000001000""","""31000000x""",
"""20200731""","""BOS""",8,"""NYA""",6,1,5,51,"""NYC21""","""001000000""","""00210002x""",
"""20200731""","""OAK""",7,"""SEA""",8,3,5,51,"""SEA03""","""000000030""","""00032000x""",
"""20200801""","""LAN""",9,"""ARI""",9,11,2,54,"""PHO01""","""000350030""","""100100000""",
"""20200801""","""NYN""",9,"""ATL""",9,1,7,51,"""ATL03""","""000010000""","""23001100x""",
"""20200801""","""PIT""",8,"""CHN""",8,3,4,51,"""CHI11""","""000000003""","""00200002x""",
"""20200801""","""SDN""",9,"""COL""",7,1,6,51,"""DEN02""","""000000010""","""03111000x""",
"""20200801""","""TEX""",7,"""SFN""",9,3,7,51,"""SFO03""","""200000001""","""20200102x""",
"""20200801""","""HOU""",8,"""ANA""",9,4,5,59,"""ANA01""","""0000001030""","""0000020111""",
"""20200801""","""TBA""",9,"""BAL""",7,4,5,65,"""BAL12""","""00000103000""","""00020200001""",
"""20200801""","""CHA""",8,"""KCA""",9,11,5,54,"""KAN06""","""410020004""","""000003101""",
"""20200801""","""CLE""",9,"""MIN""",8,0,3,51,"""MIN04""","""000000000""","""00111000x""",
"""20200801""","""BOS""",9,"""NYA""",7,2,5,51,"""NYC21""","""002000000""","""14000000x""",
"""20200801""","""OAK""",8,"""SEA""",9,3,2,60,"""SEA03""","""0000002001""","""0020000000""",
"""20200802""","""LAN""",10,"""ARI""",10,3,0,54,"""PHO01""","""200010000""","""000000000""",
"""20200802""","""NYN""",10,"""ATL""",10,0,4,51,"""ATL03""","""000000000""","""00210001x""",
"""20200802""","""PIT""",9,"""CHN""",9,1,2,64,"""CHI11""","""10000000000""","""00001000001""",
"""20200802""","""SDN""",10,"""COL""",8,6,9,51,"""DEN02""","""000001041""","""01020240x""",
"""20200802""","""TEX""",8,"""SFN""",10,9,5,54,"""SFO03""","""030020400""","""010013000""",
"""20200802""","""HOU""",9,"""ANA""",10,6,5,66,"""ANA01""","""02000010111""","""00400000010""",
"""20200802""","""TBA""",10,"""BAL""",8,1,5,51,"""BAL12""","""000001000""","""00100031x""",
"""20200802""","""CIN""",8,"""DET""",9,4,3,42,"""DET05""","""2010001""","""0000030""",
"""20200802""","""CIN""",9,"""DET""",10,4,0,42,"""DET05""","""1100002""","""0000000""",
"""20200802""","""CHA""",9,"""KCA""",10,9,2,54,"""KAN06""","""000110700""","""010010000""",
"""20200802""","""CLE""",10,"""MIN""",9,1,3,51,"""MIN04""","""000100000""","""11100000x""",
"""20200802""","""BOS""",10,"""NYA""",8,7,9,51,"""NYC21""","""203010100""","""03201003x""",
"""20200802""","""OAK""",9,"""SEA""",10,3,2,54,"""SEA03""","""000030000""","""100000010""",
"""20200803""","""NYN""",11,"""ATL""",11,7,2,54,"""ATL03""","""004120000""","""000020000""",
"""20200803""","""KCA""",11,"""CHN""",10,0,2,51,"""CHI11""","""000000000""","""00001010x""",
"""20200803""","""CLE""",11,"""CIN""",10,2,3,51,"""CIN09""","""110000000""","""00010200x""",
"""20200803""","""SFN""",11,"""COL""",9,6,7,51,"""DEN02""","""003010002""","""10000501x""",
"""20200803""","""CHA""",10,"""MIL""",7,6,4,54,"""MIL06""","""200000211""","""100021000""",
"""20200803""","""LAN""",11,"""SDN""",11,4,5,51,"""SAN02""","""100020001""","""10011200x""",
"""20200803""","""PIT""",10,"""MIN""",10,4,5,52,"""MIN04""","""110110000""","""000004001""",
"""20200803""","""PHI""",4,"""NYA""",9,3,6,51,"""NYC21""","""001000110""","""10200300x""",
"""20200803""","""OAK""",10,"""SEA""",11,11,1,54,"""SEA03""","""000080201""","""001000000""",
"""20200804""","""HOU""",10,"""ARI""",11,8,2,54,"""PHO01""","""120050000""","""000100100""",
"""20200804""","""TOR""",8,"""ATL""",12,1,10,51,"""ATL03""","""000010000""","""02004004x""",
"""20200804""","""KCA""",12,"""CHN""",11,4,5,51,"""CHI11""","""010010002""","""02020001x""",
"""20200804""","""CLE""",12,"""CIN""",11,4,2,54,"""CIN09""","""000000220""","""100100000""",
"""20200804""","""SFN""",12,"""COL""",10,2,5,51,"""DEN02""","""000020000""","""10020110x""",
"""20200804""","""CHA""",11,"""MIL""",8,3,2,54,"""MIL06""","""000002100""","""000020000""",
"""20200804""","""LAN""",12,"""SDN""",12,5,2,54,"""SAN02""","""000002111""","""001100000""",
"""20200804""","""NYN""",12,"""WAS""",8,3,5,51,"""WAS11""","""000210000""","""11300000x""",
"""20200804""","""MIA""",4,"""BAL""",9,4,0,54,"""BAL12""","""000012010""","""000000000""",
"""20200804""","""PIT""",11,"""MIN""",11,3,7,51,"""MIN04""","""000100002""","""31012000x""",
"""20200804""","""TEX""",9,"""OAK""",11,1,5,52,"""OAK01""","""000001000""","""000000104""",
"""20200804""","""ANA""",11,"""SEA""",12,5,3,54,"""SEA03""","""300000200""","""000001110""",
"""20200804""","""BOS""",11,"""TBA""",11,1,5,51,"""STP01""","""010000000""","""00022010x""",
"""20200805""","""HOU""",11,"""ARI""",12,7,14,51,"""PHO01""","""030120010""","""00092012x""",
"""20200805""","""TOR""",9,"""ATL""",13,2,1,54,"""ATL03""","""010010000""","""000000100""",
"""20200805""","""SFN""",13,"""COL""",11,4,3,54,"""DEN02""","""000301000""","""101000100""",
"""20200805""","""MIA""",5,"""BAL""",10,1,0,42,"""BAL12""","""0001000""","""0000000""",
"""20200805""","""PHI""",5,"""NYA""",10,11,7,42,"""PHI13""","""0040160""","""1200004""",
"""20200805""","""MIN""",12,"""PIT""",12,5,2,54,"""PIT08""","""010000004""","""000000002""",
"""20200805""","""LAN""",13,"""SDN""",13,7,6,54,"""SAN02""","""020023000""","""000022011""",
